0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
,,CG8177,,,,,,CG17778,,CG42741,CG1688,CG6330,nAChRalpha6,CG12730,,,Dscam4,Neto,kek3,CG4300,Mp,mspo,endos,LTV1,,Mid1,yki,Eip93F,,,CG11319,NP15.6,SPR,,GstE12,CG44247,CG42492,,CG15630,glec,mamo,Rgk1,CG14526,CG42394,CG7920,mam,Pde6,cindr,CG11221,,ftz-f1,CG44837,AMPdeam,Adgf-D,VhaM8.9,CG9945,,Rdl,,CG9691,CG15431,klar,5-HT2A,cathD,CG30389,Aldh,CG11752,Gp93,GstE2,RpL17,,LpR1,CR44978,Pde1c,,Swip-1,CG6154,dpr1,fng,glob1,Cys,CG16743,,Nlg4,ics,RpL13A
,,DIP-zeta,,,,,,HDAC4,,flw,comt,Pgk,emc,Cyp9f2,,,DIP-beta,kek2,CG4678,ATPsyndelta,l(1)G0334,Lgr1,CG42361,ND-ACP,,Pdfr,Acon,spz,,,kek1,Scsalpha,zld,,CG3168,CG43102,CG7991,,porin,CG17454,ND-AGGG,CG9368,Arpc3B,CG1648,stan,Myc,CG30158,GluRIB,comm,,LTV1,Abl,RpS23,CG3168,beat-IIb,CG17904,,CG43707,,SPARC,Ald,CG2680,CG13365,Phm,ND-51,CG4096,CG13594,CG32280,mRpS9,RpS29,,mtt,VhaM9.7-a,PRAS40,,RpL7A,CG32264,CG44422,Gel,CG43759,RpS5a,CG14696,,5-HT2A,CG1299,sgg
,,Pde9,,,,,,igl,,htl,Wdr62,beat-IV,tup,CG8745,,,CG32052,CG17716,kcc,pyr,CG42260,Dop1R1,ND-19,MRE23,,Adk1,FASN1,Dif,,,CG34354,l(1)G0334,Pde11,,CR44107,Uch,hdc,,CenG1A,CG33229,tipE,Tango13,CG1572,CG15236,trn,twr,Calx,pan,cbx,,CG12605,Lcch3,l(2)k09913,ogre,Ssadh,CG6171,,Tret1-1,,EbpIII,Vha14-1,zfh1,mRpS24,Ten-a,CG8916,Tsp42Ee,COX6B,CG1688,CG10126,CG10479,,ATPsynD,CG14372,CG10384,,Mlc-c,kcc,TkR99D,CG6356,CR44366,Sc2,edl,,CG6282,CG13606,Argk
,,Lim1,,,,,,corn,,CG6287,Usf,CG32278,CG42795,CG6218,,,haf,CG15537,CR46006,Syt1,Ip259,sda,Hsp67Bc,rad,,CR46006,loqs,Gprk2,,,CG32683,elm,Ace,,Prx2540-1,CG12163,pHCl-1,,Ac13E,tai,shakB,klg,Hexo2,CG13408,CG32700,ATP8B,CCKLR-17D3,Gasz,CG4577,,caps,Vha55,RpL13,Cyp4g15,dpr6,RpS20,,pcs,,CR45161,Sfxn1-3,PPP4R2r,phyl,kek3,Pect,Pcyt2,ND-23,Tspo,ab,Ugt86Da,,UQCR-6.4,CG17778,CenG1A,,Tpi,CG2082,CG13917,Mal-A5,Glo1,Taldo,Idgf3,,LpR1,CG34417,RpL36
,,Or63a,,,,,,bun,,S,CR45312,CG4678,Gdh,Lsd-2,,,CG7646,CG13917,SPR,CG12605,GluRIB,Pde8,Gpdh,CG2993,,CG17193,CG13921,CG8034,,,ths,ATPsynG,CG32683,,N,CG43658,ImpL3,,CG42492,ap,levy,CG34384,CG5613,Dh31,para,CG14044,CG34393,beat-Ib,smog,,RhoGAP93B,CG30116,rdgB,Ace,flw,CG2658,,Tsp42Ee,,GILT1,Eip63F-1,,glec,pr,COX5A,pst,ND-51,Taldo,Spn88Ea,cv-d,,COX7A,CG32432,CG8641,,Timp,CG11752,CG30463,CG1640,stai,Jon65Aiv,Aldh,,beat-Ib,Vha68-2,Art1
,,jagn,,,,,,slo,,Pino,CG4743,dpr11,CG3967,HDAC6,,,CG31140,ftz-f1,CG42238,roh,Pgk,tna,PyK,CG31808,,Eip93F,Mob2,chinmo,,,pdm3,CG7430,Sytalpha,,CG32032,RpL18A,CG9518,,Fife,CG30116,mRpL55,CG43102,CG14523,CR45845,Syt1,FASN1,CadN,Neto,nSyb,,Rdl,slgA,Dak1,CG12926,TM4SF,CG1703,,ATPsynbeta,,CG10863,mamo,,Pal2,Dhpr,bi,RpS20,ND-B14.5A,Cyp9f2,CG13698,Col4a1,,ATPsynCF6,Gasz,CG30089,,CG15202,ND-51,CG34355,CG6287,Ssadh,CG6543,CDase,,jdp,PGRP-LC,RpL32
,,CG3662,,,,,,CG15765,,Mdh1,CG31324,CR45332,CG3961,CG10863,,,RapGAP1,CR45312,Cadps,ND-B16.6,alc,CanB,Pur-alpha,Snap25,,CG11638,CG5065,emc,,,Dscam2,kcc,Rdl,,Npc2b,CngB,CG11191,,FMRFaR,emc,roh,Ppcs,Syb,Fas2,Rbfox1,nolo,Rab27,Ip259,CR46006,,CG6282,DnaJ-1,Ttd14,GstE12,CG32278,SmF,,CG14757,,CG11407,EndoA,,emc,VhaAC45,5-HT2A,CG9743,CG10561,,Irc,RpL13A,,beat-VII,gammaSnap2,CG13579,,bdl,Ssadh,Toll-6,CG12177,bru3,RpLP2,ana,,Cow,CG1648,RpS28b
,,Myo81F,,,,,,Slob,,pdgy,CG13685,CadN2,Ac78C,CG31974,,,bab2,Rdh,DopEcR,CG8245,CG1695,CG17841,Usf,Gdh,,CG14431,mub,Smox,,,St3,Tom7,Hs3st-A,,CG12896,CG5110,CG18549,,Syt7,Ac78C,scrt,RhoGAP102A,CG43103,Lim1,CG12576,Spase25,CG31475,AstC-R2,Hasp,,ND-B22,CG3655,CG1309,CG9932,nSyb,CG42365,,lola,,CG15098,dpr2,,CG32369,Pvr,shi,CG15203,Sam-S,,CG31663,CG4301,,LpR2,robo3,nrv3,,Taldo,ATPsynbeta,Rab3-GEF,Tsp42Ef,ome,Thor,GstE1,,wake,mol,plx
,,pdm3,,,,,,CG32392,,CG15203,CG7582,CG34384,comt,Irk2,,,CG9368,ND-15,RpL24-like,NetA,EndoA,CG7985,CG6878,CG32432,,cindr,CR44922,Nacalpha,,,CG44422,Cchl,CG14024,,CG44325,CG32369,Tsp97E,,otk,Pur-alpha,CR44320,nolo,yellow-g,CG11317,CG31323,Gdi,danr,CG42540,CG34371,,GABA-B-R1,g,Uev1A,Ca-alpha1T,5-HT1B,cactin,,kcc,,Ugt86Dd,Pgk,,COX7C,twr,Vha14-1,olf186-M,CG32369,,Got1,vir-1,,CG9932,Phm,Nak,,CG33169,ATPsyngamma,Plc21C,CG9657,crb,GstE12,pAbp,,RhoGAP19D,CG13124,eEF5
,,nvy,,,,,,CG9813,,CG32521,CG34351,CG32544,CG34354,CG7966,,,CG13784,Octbeta2R,CG30463,Adk1,Ca-alpha1T,Lmpt,RFeSP,klu,,CR45533,CG3257,CG10077,,,ftz-f1,Gpdh,CG43729,,Cyp9f2,Spase22-23,CR43334,,shi,nkd,ckn,Rgk3,NimC4,,Frq1,CG5174,CG31140,CG12531,nwk,,Alas,CG3955,Chd64,Fili,Vha14-1,ThrRS,,CngA,,Obp8a,Syt7,,CG15630,Cyp1,CG32278,Spn43Ab,CG42795,,CG13890,CG6574,,Gfrl,CG13384,P5CDh1,,sog,ATPsynF,CG18208,ogre,Gdh,CG8180,GstE12,,nord,CG13117,per
,,Pcd,,,,,,Con,,Got1,dpr8,QIL1,CG8620,Csas,,,X11Lbeta,CG16791,CG33144,CG11085,VhaPPA1-1,eEF1alpha2,Atox1,CG6330,,CG7920,ATPsynbeta,CG7378,,,Ace,CG7630,CG14762,,ninaB,CG6184,kek3,,dally,Ppa,CG8229,CG15236,Sap-r,,SP1029,CG17841,Pde8,CG42750,beat-VI,,Nlg2,CG1907,SpdS,CG32032,CG9813,CG7841,,Ih,,CG14301,Gbeta5,,CR41597,CG33543,Scgdelta,Ugt35a,Eip93F,,ko,RpL28,,Mpcp2,slgA,Ndae1,,pAbp,cmpy,CG32237,CG30460,Flo1,fabp,CG13698,,CG11768,Spn77Ba,CCT5
,,ssx,,,,,,CG30463,,GstD9,luna,COX5A,Ccn,Mdh1,,,Dh31,ttv,tipE,ru,CG17716,CG10947,CG34132,CG13579,,kek3,CG8861,corto,,,CG32856,porin,Drep1,,Idgf4,klg,Sox102F,,Syx13,CG43737,nAChRalpha3,sn,CG34253,,corto,Flo1,CG3262,CG1688,Vha68-1,,MED21,Gasz,CAP,CG31637,RNASEK,RpS10b,,Appl,,CG4615,mtd,,SP1029,mAChR-B,Cngl,RpS16,CR45962,,Nmda1,RpS13,,CG31760,CASK,CG32521,,CG33056,ND-B14.5A,CG1358,CG1648,CG11221,CG3097,CG1358,,dpr3,CG14196,CG34353
,,CG4577,,,,,,cmpy,,repo,CG3726,SNF4Agamma,eIF4EHP,Got1,,,amon,CG34351,Teh2,CG17193,CG31324,Oamb,nAChRbeta2,CaMKI,,fred,betaTub56D,Sema1a,,,robo2,Gabat,LpR1,,euc,VhaAC45,Sema2b,,Eip93F,Hs6st,dpr6,cno,cathD,,CG11191,amon,CR42862,CG17839,CG43759,,tipE,GstS1,CG11791,Npc2a,CG31690,kay,,nAChRalpha1,,Cyp4g15,Nlg3,,CG32698,CG13743,CG15630,cathD,LTV1,,bab2,CG32521,,CG1358,Galphao,SP2353,,CG8547,Pgk,CG13055,spz,CG42392,GNBP2,Cys,,CG14795,CG17265,Pcd
,,Wnt4,,,,,,5-HT1B,,Invadolysin,CG12994,Vha55,unc79,Aldh,,,CG43222,DIP-epsilon,hppy,ATPsynO,kcc,Rap1,Fis1,CG13954,,s-cup,AnxB10,Hs3st-A,,,Slob,UQCR-11,CG2993,,GILT2,Moe,CG44314,,Got1,MED21,CG44422,sli,CecC,,Rgk3,alpha-Spec,Gpb5,Scp2,CG9328,,qvr,Tpi,rdgC,CG3961,Octbeta2R,crc,,CG32547,,GstE2,CG6006,,ND-MLRQ,sel,RFeSP,kay,CG31324,,CG10550,CG5793,,ND-B12,Rim,Rab3,,Lmpt,l(1)G0156,norpA,Msr-110,Pka-C1,CG17121,CG17508,,mam,foxo,RpL18A
,,twz,,,,,,GluRIB,,wun,CG34155,Ktl,CG42750,hoe1,,,CG14762,CG1463,dpr11,dpr6,VhaSFD,CG31814,ND-ASHI,SdhD,,fbp,CG3961,mspo,,,CG8300,ATPsyngamma,Tbh,,CG15201,Sfxn1-3,Eip74EF,,Gfrl,CG14509,CG32647,stai,Cyp6d5,,CG13995,CG7766,CG43324,CG33181,CR40190,,alpha-Man-Ia,ed,Tctp,CG14806,Vha55,Nipped-B,,LpR2,,Nep4,CG31030,,Hsp70Bc,Gpb5,CG8671,fat-spondin,QIL1,,CG12163,CG2082,,VAChT,beat-IIa,pgant2,,CG9674,dpr8,Rdl,CG10550,CG43778,CG34120,Cyp4g15,,stan,CG4562,PKD
,,CG11317,,,,,,CanB,,CG14945,CG17839,St3,pHCl-1,CG5254,,,beat-Ib,gammaSnap1,DIP-eta,Cow,5-HT1A,CG34402,Dic1,CG42392,,Gfrl,salr,CG34370,,,Sytalpha,skap,CG42240,,CG2852,ap,GABA-B-R1,,CG11319,Atg8a,rdo,Cals,Zip99C,,sky,CR44334,Fife,Vha55,DnaJ-1,,igl,cg,CR18854,LpR2,SPR,Uhg1,,CG14372,,Picot,PIP5K59B,,Argk,Df31,CG9674,AhcyL2,Usf,,nuf,RpL37A,,Gdh,CG2061,CG14757,,RpL28,ND-B18,CG4587,CG12926,5-HT2A,jbug,Inx3,,Kr,CG1146,RpS12
,,Lim3,,,,,,Nacalpha,,CG30285,,kdn,AstC-R2,CG7509,,,CG1275,CG18208,mam,DOR,veli,pHCl-1,mge,hwt,,erm,CG7920,RpS11,,,CG13954,CG11267,CG33144,,mfas,CG5174,Tsp42Ef,,Gasz,Mctp,CG7920,pxb,LanB2,,Sh,CG44247,Fas3,kek5,sca,,CG8229,Pur-alpha,cathD,kcc,VhaM9.7-a,Rpb10,,cindr,,CG17508,Epac,,chrb,CG2918,CG10804,CG17027,bi,,vvl,CG11791,,nmo,beat-VII,Dscam2,,Tspo,Ca-alpha1T,tai,CG13012,sgll,RpL11,CG2310,,sano,cer,RpL10
,,CG12237,,,,,,CG42817,,Picot,,CG18208,drongo,CG2277,,,TyrR,Tsp66E,beat-Ia,CG5028,side,GluRIA,Gycalpha99B,ND-18,,Cow,CG13220,Pde1c,,,Ktl,Gdh,CG5953,,CG14777,gce,Eip63F-1,,CG17321,inaE,CG15630,CG1943,CR32194,,CG7990,nord,CG40498,CG5149,crp,,CG32795,CG10804,path,CG15312,CG10384,Nmda1,,CG33144,,CG6543,dpr20,,cype,svr,PyK,CG18622,ND-42,,CG32280,CG30197,,ND-B17,amon,CG42817,,RpS21,CG4238,CG32982,Cyp6w1,Argk,CG31313,nemy,,SPR,wmd,RpLP2
,,CG31997,,,,,,CG43658,,zfh2,,EndoA,Got2,CG9394,,,CG42402,beat-VI,CG18135,CG11876,Tsp42Ej,pan,Vha16-1,cic,,Pitslre,CG17544,px,,,CG42795,ND-19,CG32856,,Sirup,CG34353,CG32521,,CG9328,jigr1,CG42392,CG4297,CG12065,,nrv3,Cat,St3,CG8620,Nca,,scrt,Ppcs,bif,CAP,Dh44-R1,RpL13,,Drat,,glob1,CG32278,,ST6Gal,DIP-epsilon,glec,RpL30,CG42392,,CG5758,Got1,,sm,CG15478,CG10011,,crim,mtd,CG10011,CG17026,CG17778,Zw,CG18598,,Pkc53E,crim,CG2747
,,CG42541,,,,,,rdgC,,GlcAT-P,,CG32432,CG2258,CAP,,,CG18467,Ca-alpha1T,CG1688,CG33181,gogo,CG43759,CG17029,pHCl-1,,CG13954,CG14757,Tomosyn,,,CG42700,CG11752,TM4SF,,Ssk,RpS19a,Rdl,,glec,CG2082,CG5151,CG11000,RhoL,,ND-B14,Nrg,osp,CG31324,roX2,,Fas3,Syt4,eIF4B,DIP-gamma,Vha13,cib,,CG14509,,Cyp9f2,GstD1,,Gpdh,mtt,CG32700,LamC,ND-24,,CG11407,RpS5a,,CG5946,IscU,para,,CG5273,CG6044,Nckx30C,atilla,phyl,Vdup1,CG1146,,Ppa,CG7272,brk
,,br,,,,,,tna,,fok,,gammaSnap2,nAChRbeta2,Timp,,,mam,CG15312,ct,CG13698,CG31690,Nacalpha,mRpL27,CG8229,,CG42817,l(1)G0255,Gdh,,,CG32206,ND-42,kek3,,CG5888,CG32052,CG4341,,CG10089,fok,Eip75B,Dgk,CG15695,,Pdfr,Hsc70-3,ringer,fz2,St3,,CG13954,kek2,CG11077,CG13698,Pde6,l(2)37Cc,,nAChRalpha2,,Ddc,beat-IV,,roX2,CG9391,AstA-R1,RpS26,mRpL41,,AnxB9,VhaM9.7-b,,ASPP,CG7407,CG8398,,RpL30,Csp,2mit,GstE6,pdm3,RpL17,Gs2,,Hipk,CG1208,TBCB
,,Dh31,,,,,,olf413,,l(1)G0193,,Hsp60A,eag,Oatp58Dc,,,CG13995,CG3530,CR43148,UQCR-C1,QIL1,CG6044,CG17272,MED21,,Rph,CG6878,Ppcs,,,Ih,CG8245,CG42392,,Aldh,CG17272,Gbeta13F,,IscU,sky,Nlg2,CR45332,PGRP-SA,,twz,Pdi,Ktl,CG34384,zld,,ap,CG34355,CG8974,CG2082,Dop1R2,CG13887,,dnc,,CG5404,AP-1sigma,,mRpL55,CG13663,cindr,rdhB,UQCR-C2,,path,NaPi-III,,ND-42,Pglym78,CG3726,,Thiolase,blw,ftz-f1,GstD3,CG34155,CG9631,shf,,CG31191,sog,Dyrk2
,,CG13408,,,,,,Shawl,,ninaB,,ATPsynB,CG5644,CG6723,,,B4,CG4404,kek2,CR44997,CG11294,Magi,Yeti,tna,,CR44317,mEFTu1,GluRIA,,,CG5151,Cisd2,Hsp70Ab,,CG13397,beat-IV,corto,,CG31324,CG42346,CG9171,dpr16,CG42867,,CG31324,Ank2,arm,CG43759,alpha-Man-Ia,,CASK,Sfxn1-3,CG32647,ced-6,Sfxn1-3,Gclc,,CG6044,,ced-6,CG1607,,CG34383,CG43759,blw,RpL27,CG7220,,CR45161,CG16700,,CG11752,Adk2,CG14509,,Lsd-2,ND-42,Tsp66E,CG5973,CG8839,RpS16,CG9686,,NetB,Pura,CG6959
,,CG11319,,,,,,fne,,CG9467,,Tomosyn,CG33143,CG42235,,,CG43658,CG8641,dpr2,CG1513,Pfk,metro,CG2017,CG17454,,CG3857,P32,tsr,,,dpr8,blw,Shab,,Gabat,TMS1,nrv3,,Fas2,luna,Pkc53E,CG6959,GstO3,,sNPF-R,Calx,CanB2,dpr9,CG10384,,CG45002,Gbeta5,Lpin,GstD1,beat-Va,kraken,,dpr2,,CG14141,CG9674,,COX5A,Dgk,Mmp2,RpL11,ND-B15,,Mdh1,Snap29,,Lis-1,CG5281,CG32278,,Dat,roh,beat-IIIb,alpha-Est8,CG11077,CG2767,Tctp,,Df31,eEF5,CG13506
,,,,,,,,Rap1,,Ugt86Dd,,ATPsynD,CG13365,CG2852,,,nrm,CG34353,,Mdh2,CG13384,Rab26,porin,CG11752,,mav,nmo,Nlg3,,,fok,Fie,l(3)neo38,,Got1,Myo81F,Nrt,,Nmda1,CG44838,wry,GABA-B-R3,CG31778,,Lmpt,CG11768,Drl-2,nwk,nmo,,CG43902,Non1,gol,Tina-1,CG13384,eIF2D,,eya,,Eip71CD,CG43066,,LpR2,Mob4,tna,RpS19a,hwt,,CG34383,RpS26,,COX5B,CG34351,sm,,crb,Cka,fz,eEF1alpha1,sdt,RpS7,Pdk,,NK7.1,RhoGAP18B,RpL14
,,,,,,,,CG30116,,RhoGAP18B,,Tpi,egh,CDase,,,CG5071,CG11076,,ko,Tim17b,sdt,RabX4,CG9932,,ap,CG9231,PVRAP,,,CG7990,ND-MLRQ,Hr38,,vir-1,CG17075,CG3345,,Syn1,wry,CG3104,Rab26,RpS13,,tna,CG33169,CR45223,Pitslre,chinmo,,CG8245,Snap25,,kay,nAChRalpha5,SNF4Agamma,,CG17364,,Mal-A5,CG18815,,DnaJ-1,mspo,ND-B14,RpL19,dpr11,,aay,CG7834,,Hsp60A,CG8641,Nckx30C,,RpL18A,CG10508,Drep1,Npc2a,Gabat,hui,Wwox,,GC,CG31357,bark
,,,,,,,,GstD1,,spir,,Gasz,CG42668,CG12926,,,dlp,CG6959,,VepD,CG33199,Ptp99A,Sod2,CG5644,,Rala,CR44320,Nhe2,,,CG42313,QIL1,5-HT2A,,GLaz,CG8613,GC1,,CR44943,CadN,Syt7,CG33543,Lamp1,,metro,Xbp1,CG44838,CanB2,CG3726,,mGluR,Fim,,N,CG4404,tai,,tna,,InR,CG32700,,Pglym78,Dg,ND-42,CG8399,ND-MWFE,,CG2765,RpS20,,SdhC,sni,Ac3,,CG8036,CG5937,Pkc53E,DNaseII,Ppcs,RpL36A,nuf,,Nrt,CG3077,CG31475
,,,,,,,,Mical,,GILT2,,Hr38,dpr20,Irk3,,,NFAT,BicD,,Mgat2,eIF4EHP,Dh44-R1,QIL1,Teh2,,Rdh,CG9919,lolal,,,hid,COX5A,eag,,Lsd-2,CR42862,Eip93F,,CG17124,Adk1,Mpcp2,olf413,Jupiter,,Ac76E,CG12004,Cad87A,Trim9,cindr,,CG3104,l(1)G0469,,CG9686,nAChRalpha3,Ate1,,CG4341,,Tsp42Ee,ATPsynB,,lin-52,Flo1,ATPsynO,scaf,CR45312,,Fas3,RpS19a,,CG7630,Pxn,CG5010,,Sesn,COX8,CG13954,CG13707,Eaat2,yellow-h,Tsp5D,,fz2,CG3165,crc
,,,,,,,,Rgk3,,Lsd-2,,CG7407,CG10508,nemy,,,Fife,CG32683,,CG1358,DIP-delta,eEF5,ATPsynF,RpS24,,nAChRalpha3,CG10137,CG16711,,,CG42594,CG9034,CR45706,,dally,Tapdelta,tsr,,CG14853,HmgZ,CR43148,CG17716,modSP,,CG42392,Myo81F,nkd,dpr13,VhaM9.7-a,,CG34353,Pal2,,CG10527,CG7407,ValRS,,CG42260,,CG12355,Pglym78,,Adk1,GstO2,ND-B16.6,CG4721,MESK2,,CG5254,Spn27A,,tai,CG5500,Aldh,,CG32521,Adar,Blos1,ced-6,Ndae1,Idh,eEF1alpha1,,Rph,CR33963,RpL7
,,,,,,,,CG11221,,CG6723,,Vha44,CG6006,Tsp5D,,,Imp,twz,,CG43902,CG32700,CG17778,Cisd2,ND-19,,CG42524,Tim8,corn,,,Mms19,UQCR-6.4,Gyc88E,,CG31248,Dhpr,dpr16,,kek3,dpr9,Ptp99A,Sptr,Adgf-A,,nSyb,CG5554,Ppcs,CG6330,CG31324,,ND-18,Oli,,CG31344,CG3726,CG30109,,kdn,,GILT3,Mob2,,ATPsyndelta,ct,sra,GstD1,CG9674,,vari,RpL18A,,CR41597,CG32225,uzip,,CG10550,Dscam2,CG9384,Past1,alph,Gasp,GstD2,,Pde8,CG31102,RpL27A
,,,,,,,,Ppcs,,mbc,,COX8,sda,RpL22,,,Pde1c,sca,,ATPsynB,CR12842,CG5890,VAChT,CG45002,,CG42594,CG31221,btsz,,,CG6006,AP-2sigma,Pur-alpha,,moody,CG8331,RpL28,,tna,CG17716,ATPsynbeta,SP2353,olf186-M,,Mpcp2,Wbp2,Phm,TM4SF,CG1688,,sNPF-R,CG14853,,CG15098,CR44978,bcn92,,step,,Fhos,pgant5,,roh,rho,Fas2,CG4302,CG11076,,CR44107,CG32407,,SdhD,CG9674,CG11474,,RpS13,CG9531,CR43425,CG31100,CG44247,RpL30,RpLP1,,klg,Prosbeta4,Glo1
,,,,,,,,tow,,pnt,,Pglym78,Atox1,Idgf4,,,CG33169,CG4341,,ND-B14.5B,Mapmodulin,CG1943,RpL36,kirre,,Hr38,stau,Idh,,,Drep3,Idh3b,CG44153,,repo,Hsc70-3,CG31637,,para,CG1648,ND-MLRQ,CG42361,firl,,CG15630,CG5885,Myo81F,Msp300,bol,,CG32432,dpr3,,beat-Vb,ktub,CG8531,,CG2269,,Aldh,Vha36-1,,fz,hwt,nAChRalpha3,Oatp74D,lov,,cu,dve,,CG8331,CG6044,CG3257,,GlcT-1,CG5028,CG32206,sev,CG6282,CG9649,CG13562,,Trim9,Thor,IA-2
,,,,,,,,dpr12,,CG11791,,CG9674,CG34393,GstE1,,,CG44247,CG34371,,ftz-f1,alpha-Man-Ia,CG42541,CG7582,GABA-B-R1,,Rab27,ND-75,CG31140,,,unc-13,CG6329,Rop,,Cys,poly,DPCoAC,,Tsp97E,ed,CG33181,CG4502,Gel,,alpha-Man-Ia,Calr,jagn,dpr3,CG43737,,CG33181,msi,,CG10433,CG1688,CG11267,,CG42313,,eEF1alpha1,GLS,,CG31324,CG9368,CG11221,CG31705,Tom20,,pAbp,cathD,,NP15.6,Rab3,CG14246,,CG31997,Syt7,CG8398,Tsp42Ea,CG13364,Aldh,CG5254,,CG43658,ex,RpL31
,,,,,,,,GluRIA,,CG30015,,nAChRalpha5,Teh2,alrm,,,Df31,CG31751,,kek1,dpr13,glec,Dat,eIF4EHP,,CG9705,CG33170,eff,,,SoxN,dpr21,CG4678,,CG31869,NFAT,HmgD,,CG11638,CG6330,NK7.1,nAChRalpha1,NimC2,,Rh7,CG2076,Dh31,RpS2,miple1,,eIF3k,Vha14-1,,shot,levy,TrpRS,,Ten-a,,CG5254,tinc,,CG42238,Pka-C1,HmgD,CG13877,mRpL55,,Hexo2,aay,,CG13954,Glut1,CG11221,,5-HT2A,l(1)G0334,CG30377,mfas,CG14298,CG3301,CG32368,,CG2082,dpy,eIF2beta
,,,,,,,,metro,,CG5895,,Sfxn1-3,MED21,CG13707,,,Calx,CR43148,,RpL12,stmA,Pka-R1,CG13685,DnaJ-1,,sNPF-R,P5CDh1,dati,,,CG10508,COX7C,ap,,Mdh1,Ptpmeg2,CG15630,,MRE23,CG6867,mspo,D,CG30148,,unc79,Spase22-23,Galphas,Task6,Ih,,Taf12,Tsp97E,,,CG3860,Nxt1,,CG9413,,CG32407,sm,,CG43795,robl,Vha55,pes,CG7407,,Jafrac1,RpS3A,,ND-ASHI,CG3719,pan,,Pgm,Got1,CG3726,Pdk,CG9646,RpS20,CG42327,,Ddc,Reg-5,Tudor-SN
,,,,,,,,zfh2,,Cyp28d1,,sNPF,CG5149,CG17896,,,Hipk,dpr10,,ND-18,Sfxn1-3,Tet,CG12091,mRpL55,,para,CG7990,Cka,,,ru,ND-13A,CG17778,,Cyp4g15,sli,CG17816,,Tina-1,mtt,erm,CR44024,et,,qvr,RpL34a,CG8726,CG30116,beat-Vc,,mbt,noc,,,Mapmodulin,galectin,,Pka-C1,,CR13130,CG13954,,beat-Ib,chic,CG12822,SLC5A11,CG1090,,RhoGEF2,Ama,,CG9813,CG1635,Rab9,,AdipoR,CG42313,nAChRalpha2,CG44325,SPoCk,CG11275,Jheh2,,Oamb,CG9628,AnxB11
,,,,,,,,amon,,Tet,,CG17839,CG6154,DNaseII,,,Ccn,CG43795,,Mef2,Gasz,CG30463,ND-30,COX5A,,side,RhoGAP19D,sda,,,CG8229,ND-B14.5A,Ptp10D,,Tsp42Ea,CrebA,ETHR,,Ady43A,CR44317,CG34113,sfl,Npc2a,,CG4297,foxo,dpr11,Eip78C,dpr3,,CG13300,CG31808,,,RhoGAP19D,eIF3m,,CG17839,,CG14696,ATPsynG,,cno,HmgD,Vha26,Tis11,CG30424,,eEF1alpha1,GstE6,,SK,CG42540,CG16721,,ZnT63C,COX5A,CG11319,Pcyt2,Pde9,Tsp42Eg,CG42394,,glob1,NijA,Gp93
,,,,,,,,emc,,RpL41,,ND-20,GluClalpha,CR44998,,,CG13594,beat-IIIc,,ox,CG13760,RhoGDI,CG6330,CG17778,,CG7990,shakB,psq,,,Tbh,ND-B12,Hsp70Aa,,CG6218,CG12384,Gycbeta100B,,P5CDh1,CG13229,Nadsyn,CG8641,PGRP-LF,,CG32647,RpS15,caps,zfh1,mGluR,,CG32647,CG7407,,,Syngr,Nop56,,CG11221,,Cys,Tom20,,dpr13,unc-104,CG5151,CG2310,eIF4EHP,,GstE1,FER,,RhoGAP93B,aPKC,porin,,CG30285,Hex-A,CG10804,CG31808,Idgf5,CG15202,RpS13,,Octbeta1R,Clc,Teh4
